id,observed_on,latitude,longitude,scientific_name
29062848,18/07/2019,52.379388,-1.435001,Muntiacus reevesi
29594738,15/08/2018,51.184075,-2.239128333,Muntiacus reevesi
29725932,19/08/2018,52.06238101,1.155386008,Muntiacus reevesi
30059932,24/07/2019,52.41923833,0.857911667,Muntiacus reevesi
30163580,03/08/2019,52.39506667,0.648103333,Muntiacus reevesi
30293649,06/08/2019,52.38998833,0.637433333,Muntiacus reevesi
30295806,05/08/2019,51.87499667,-2.333463333,Muntiacus reevesi
30315381,25/03/2019,52.199688,0.107853,Muntiacus reevesi
30315390,01/05/2019,52.19944444,0.108611111,Muntiacus reevesi
30315405,25/02/2019,52.19944444,0.108611111,Muntiacus reevesi
30315409,25/03/2019,52.19916667,0.108611111,Muntiacus reevesi
30359325,07/08/2019,51.484445,-0.292358333,Muntiacus reevesi
30436556,06/08/2019,52.33742167,0.53625,Muntiacus reevesi
30470897,06/04/2016,52.94878829,1.099337857,Muntiacus reevesi
30473050,02/04/2015,52.23806935,0.240731563,Muntiacus reevesi
30602086,07/04/2016,52.96931802,0.808355785,Muntiacus reevesi
30771138,12/08/2019,51.80937167,-2.520625,Muntiacus reevesi
31392687,22/08/2019,51.61936554,-0.505328618,Muntiacus reevesi
32156852,05/09/2019,52.0432217,-0.44047622,Muntiacus reevesi
32206829,03/09/2019,52.47428587,1.078093755,Muntiacus reevesi
32216675,06/09/2019,52.25016415,-0.107628146,Muntiacus reevesi
32460127,09/09/2019,51.65894318,-0.48894167,Muntiacus reevesi
32572195,08/09/2019,52.55195099,-1.806157976,Muntiacus reevesi
33508276,01/02/2018,51.71017557,-0.010317216,Muntiacus reevesi
33964477,17/09/2019,51.6309086,-0.477749401,Muntiacus reevesi
34155228,10/10/2019,52.0250719,-0.535178516,Muntiacus reevesi
34728533,22/10/2019,52.38892257,0.645415873,Muntiacus reevesi
34873894,07/10/2019,52.68396167,1.0672055,Muntiacus reevesi
34910025,26/10/2019,51.92253575,0.97303804,Muntiacus reevesi
35011897,28/10/2019,52.24967461,-0.108256612,Muntiacus reevesi
35158798,01/11/2019,52.20720707,0.063747133,Muntiacus reevesi
35562967,08/11/2019,52.39013248,0.643543096,Muntiacus reevesi
35774059,14/11/2019,52.38960419,0.639471452,Muntiacus reevesi
35775015,17/11/2019,50.980805,-1.0822695,Muntiacus reevesi
35937537,03/09/2017,51.52269796,-1.323388711,Muntiacus reevesi
36252013,01/12/2019,52.11778363,-0.26340794,Muntiacus reevesi
36441220,07/12/2019,51.7332177,-1.243881381,Muntiacus reevesi
36801722,19/12/2019,52.11789948,-2.449701947,Muntiacus reevesi
36801723,19/12/2019,52.13130164,-2.523077138,Muntiacus reevesi
36819766,21/12/2019,52.39468833,0.64892,Muntiacus reevesi
36888576,23/12/2019,51.61648,-0.21631667,Muntiacus reevesi
36936400,25/12/2019,51.60752564,-1.403108127,Muntiacus reevesi
37564125,05/01/2020,51.70709086,-1.484532676,Muntiacus reevesi
37613302,14/01/2020,52.56717,-0.26323833,Muntiacus reevesi
37870585,23/01/2020,52.29755129,0.658199687,Muntiacus reevesi
38330271,16/08/2016,52.93098754,1.171444394,Muntiacus reevesi
38390528,07/02/2020,51.37332833,-1.45347833,Muntiacus reevesi
38440978,08/02/2020,52.24727494,1.618959242,Muntiacus reevesi
38480118,09/02/2020,52.96652093,0.814660658,Muntiacus reevesi
39050743,22/02/2020,52.03186085,-0.337740742,Muntiacus reevesi
39050913,22/02/2020,52.51424726,0.685164152,Muntiacus reevesi
39410823,01/03/2020,52.39435066,0.646197125,Muntiacus reevesi
39537245,04/03/2020,52.39180708,0.644403063,Muntiacus reevesi
39619444,06/03/2020,51.79829444,-0.008086111,Muntiacus reevesi
39664771,07/03/2020,52.18402976,-2.476516353,Muntiacus reevesi
39883924,12/03/2020,51.856,0.01278333,Muntiacus reevesi
39885813,11/02/2020,51.36750533,-2.302534966,Muntiacus reevesi
39943512,13/03/2020,52.379388,-1.435001,Muntiacus reevesi
39977888,05/10/2019,51.42358246,-0.561175122,Muntiacus reevesi
40020609,01/09/2019,51.562436,-0.037295,Muntiacus reevesi
40128098,06/06/2019,51.58858462,-2.374824174,Muntiacus reevesi
40140163,17/03/2020,51.172745,-1.401375,Muntiacus reevesi
