id,observed_on,latitude,longitude,scientific_name,taxon_id
327376109,20/11/2025,51.37537791,-2.10110642,Capreolus capreolus,42184
327378835,20/11/2025,51.0513055,-0.569561667,Capreolus capreolus,42184
327383562,20/11/2025,55.83627716,-4.379136354,Capreolus capreolus capreolus,1053987
327384448,20/11/2025,51.50031333,-0.0691945,Vulpes vulpes,42069
327402238,20/11/2025,50.9995826,-1.832965311,Capreolus capreolus,42184
327412540,20/11/2025,51.18718667,-1.797803333,Capreolus capreolus,42184
327413658,17/11/2025,55.77275298,-3.993252286,Capreolus capreolus,42184
327413659,17/11/2025,55.7727378,-3.993224709,Capreolus capreolus,42184
327430963,19/11/2025,51.75347833,-1.254183333,Vulpes vulpes,42069
327480546,20/11/2025,51.65025301,-0.0652053,Vulpes vulpes,42069
327488466,21/11/2025,54.7988647,-4.434294328,Capreolus capreolus capreolus,1053987
327490164,21/11/2025,53.12544515,-0.779507435,Capreolus capreolus,42184
327492144,21/11/2025,55.82951177,-4.356200472,Vulpes vulpes,42069
327497187,17/11/2025,55.68558279,-1.838163689,Capreolus capreolus,42184
327518362,21/11/2025,51.6329146,-0.511728907,Capreolus capreolus,42184
327518363,21/11/2025,51.63267281,-0.511859952,Capreolus capreolus,42184
327537674,20/11/2025,53.88326502,-2.687167129,Capreolus capreolus,42184
327552303,21/11/2025,50.88661369,-1.197554835,Capreolus capreolus,42184
327553268,21/11/2025,51.62907,0.612,Vulpes vulpes,42069
327570855,21/11/2025,52.61751211,1.277483393,Vulpes vulpes crucigera,1081616
327635046,08/11/2025,51.4225058,-0.181949,Vulpes vulpes,42069
327638627,22/11/2025,51.54799167,-0.1562805,Vulpes vulpes,42069
327643235,27/10/2025,51.1461139,-0.97088424,Vulpes vulpes,42069
327646746,08/11/2025,50.79715833,0.278645,Vulpes vulpes,42069
327649544,22/11/2025,50.8262825,-0.127227828,Vulpes vulpes,42069
327667510,21/11/2025,53.56816333,-2.63067,Capreolus capreolus,42184
327671314,22/11/2025,50.82791017,-4.08589638,Capreolus capreolus,42184
327690782,17/11/2025,55.7714964,-3.994730583,Capreolus capreolus,42184
327690786,17/11/2025,55.77154762,-3.994977116,Capreolus capreolus,42184
327719476,18/07/2024,53.77247799,-2.627464123,Capreolus capreolus,42184
327754304,21/11/2025,54.9184031,-1.621066309,Capreolus capreolus,42184
327779981,20/04/2023,57.22508665,-3.788035653,Capreolus capreolus,42184
327830431,23/11/2025,55.16137599,-1.534456909,Capreolus capreolus,42184
327830743,28/05/2024,50.82624167,-0.127188833,Vulpes vulpes,42069
327833037,22/11/2025,51.95214167,-0.121986167,Capreolus capreolus,42184
327847043,23/11/2025,54.91434667,-1.728836667,Capreolus capreolus,42184
327853425,21/11/2025,51.2264346,0.6266159,Vulpes vulpes,42069
327860580,15/11/2025,53.62812806,-2.313922888,Capreolus capreolus,42184
327888303,09/12/2024,55.89655577,-3.791196396,Capreolus capreolus,42184
327892109,26/08/2025,50.74183298,-1.537545072,Capreolus capreolus,42184
327895306,23/11/2025,51.47602175,-0.291695976,Vulpes vulpes,42069
327908734,22/11/2025,54.9761878,-3.4840992,Capreolus capreolus,42184
327913820,23/11/2025,53.9541555,-1.0635441,Vulpes vulpes crucigera,1081616
327929390,22/11/2025,53.916916,-0.8122814,Capreolus capreolus,42184
328030731,23/11/2025,51.39290569,0.000472739,Vulpes vulpes,42069
328039097,25/10/2025,51.40956846,-0.63999056,Vulpes vulpes,42069
328041316,24/11/2025,51.63180409,-0.512283486,Capreolus capreolus,42184
328046275,13/11/2025,53.13820048,-0.789888493,Capreolus capreolus,42184
328051005,24/11/2025,53.80156108,-0.322405212,Capreolus capreolus,42184
328052278,24/11/2025,53.79608453,-0.312367803,Capreolus capreolus,42184
328055003,24/11/2025,54.43114444,-3.048213889,Capreolus capreolus,42184
328059668,23/11/2025,53.20198148,-0.601105282,Capreolus capreolus,42184
328059767,23/11/2025,53.24887024,-0.733734638,Capreolus capreolus,42184
328059866,17/11/2025,53.10312093,-0.812425348,Capreolus capreolus,42184
328076885,24/11/2025,52.51533762,-2.081025727,Vulpes vulpes,42069
328080494,24/11/2025,51.46223802,-0.063560307,Vulpes vulpes,42069
328099350,21/11/2025,53.13416749,-0.787239347,Capreolus capreolus,42184
328110486,22/04/2025,51.0692379,1.0155793,Vulpes vulpes,42069
328127574,21/11/2025,50.81369444,-1.218058333,Vulpes vulpes,42069
328172164,21/11/2025,51.51127334,0.013906957,Vulpes vulpes,42069
328176458,11/10/2025,51.4091266,-0.6392096,Capreolus capreolus,42184
328176465,12/10/2025,51.4091266,-0.6392096,Vulpes vulpes,42069
328176466,31/10/2025,51.4091266,-0.6392096,Vulpes vulpes,42069
328186924,25/11/2025,51.14130193,-0.04508942,Vulpes vulpes,42069
328203011,25/11/2025,54.80803043,-4.429472387,Capreolus capreolus,42184
328208356,21/10/2025,51.39159174,-1.33494287,Vulpes vulpes,42069
328219156,25/11/2025,52.46942421,-2.157639004,Vulpes vulpes,42069
328225171,25/11/2025,54.8789243,-2.9511558,Capreolus capreolus capreolus,1053987
328226897,25/11/2025,53.69535564,-0.690063293,Capreolus capreolus,42184
328240529,05/11/2025,53.58553348,0.128339732,Capreolus capreolus,42184
328241408,30/09/2025,51.43112222,-0.031461117,Vulpes vulpes crucigera,1081616
328249409,07/11/2025,56.23012278,-3.97392192,Capreolus capreolus,42184
328256125,13/12/2016,52.111982,0.067587,Vulpes vulpes,42069
328266707,25/11/2025,54.8789243,-2.9511558,Capreolus capreolus capreolus,1053987
328271812,25/11/2025,54.84820522,-1.624873413,Capreolus capreolus,42184
328318085,04/11/2025,51.64021854,-0.058041572,Vulpes vulpes,42069
328322010,20/09/2025,51.56842051,0.624484528,Vulpes vulpes,42069
328331736,24/11/2025,51.49413333,0.016288883,Vulpes vulpes,42069
328343425,26/11/2025,51.49247167,-0.1431055,Vulpes vulpes,42069
328348625,07/11/2025,52.14733612,-0.476925458,Vulpes vulpes,42069
328387686,09/11/2025,50.81179023,-1.077515781,Vulpes vulpes,42069
328388044,25/11/2025,54.17963889,-2.812947222,Capreolus capreolus,42184
328398888,16/11/2025,51.54780892,-0.003422499,Vulpes vulpes,42069
328402582,26/11/2025,51.46215592,-0.06406758,Vulpes vulpes,42069
328403499,26/11/2025,51.48181782,-0.190974958,Vulpes vulpes,42069
328415988,25/11/2025,51.42793333,0.086638833,Vulpes vulpes,42069
328469712,26/11/2025,53.13350529,-0.782097084,Capreolus capreolus,42184
328469722,26/11/2025,53.13376103,-0.782077978,Capreolus capreolus,42184
328469728,26/11/2025,53.13413107,-0.783045886,Capreolus capreolus,42184
328469729,26/11/2025,53.13436278,-0.781603931,Capreolus capreolus,42184
328474779,25/11/2025,53.27166037,-1.800265494,Capreolus capreolus,42184
328481726,20/11/2025,51.50793843,-2.652610503,Capreolus capreolus,42184
328508757,02/02/2025,53.23308889,-2.139266667,Capreolus capreolus,42184
